identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006400445;SMURFIT KAPPA PAPETERIE ALFA D'AVIGNON;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;29400000;kg/an
0006401052;ARCELORMITTAL Méditerranée;2006;Air;Manganèse et composés (exprimés en tant que Mn);1370;kg/an
0006700433;Vynova PPC SAS;2006;Air;Oxyde de propylène (1,2-époxypropane);182;kg/an
0006700774;INTERDECAF;2006;Eau (indirect);Dichlorométhane (DCM, chlorure de méthylène);637;kg/an
0005101610;SAINT GOBAIN GLASS;2006;Air;Méthanol (alcool méthylique);200;kg/an
0005200266;ORION ENGENEERED CARBONS SAS;2006;Eau (direct);Benzo (a) pyrène;0.0102;kg/an
0006103913;CROWN emballages France SAS;2006;Air;Composés organiques volatils non méthaniques (COVNM);84500;kg/an
0006103915;ROGER de LYON;2006;Eau (indirect);Demande biologique en oxygène (DBO5);53200;kg/an
0006103952;Union de la Boucherie Lyonnaise;2006;Eau (indirect);Demande biologique en oxygène (DBO5);66800;kg/an
0006103972;PLYMOUTH FRANCAISE;2006;Eau (direct);Ammoniac (NH3);5;kg/an
0006103972;PLYMOUTH FRANCAISE;2006;Eau (direct);Hydrazine;200;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Arsenic et composés (exprimés en tant que As);20.5;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Benzène;49300;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Chrome et composés (exprimés en tant que Cr);913;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Composés organiques volatils non méthaniques (COVNM);1420000;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Monoxyde de carbone (CO);6710000;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Nickel et composés (exprimés en tant que Ni);2060;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Oxydes de soufre (SOx/SO2);6420000;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Oxydes d'azote (NOx/NO2);2130000;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Poussières totales;253000;kg/an
0006103973;TOTAL RAFFINAGE France;2006;Air;Protoxyde d'azote (N2O);39900;kg/an
