ETS_Name;PRTR_Name;EUTL_Name;Similarity;
Abbott Laboratories B.V.;Abbott Laboratories B.V.;NA;0;
Ashland Industries Nederland B.V.;Ashland Industries Nederland B.V.;NA;0;
Bunge Loders Croklaan Rottedam;Bunge Loders Croklaan Rotterdam;NA;0.010752688;
Albemarle Catalysts Company BV;Albemarle Catalysts Company B;NA;0.011111111;
ExxonMobil Chemical Holland BV (ROP);ExxonMobil Chemical Holland BV (RAP);NA;0.018518519;
Albemarle Catalysts Company B.V.;Albemarle Catalysts Company B.;NA;0.020833333;
FrieslandCampina Leeuwarden;FrieslandCampina (Leeuwarden);NA;0.022988506;
Uniper HWC Bezuidenhout West;Uniper HWC Bezuidenhout-West;NA;0.023809524;
Ardagh Glass Moerdijk B.V.;Ardagh Glass Moerdijk BV;NA;0.025641026;
FrieslandCampina Workum;FrieslandCampina (Workum);NA;0.026666667;
Kwekerij de Wieringermeer;Kwekerij De Wieringermeer;NA;0.026666667;
Ardagh Glass Dongen B.V.;Ardagh Glass Dongen BV;NA;0.027777778;
Apollo Vredestein B.V.;Apollo Vredestein BV;NA;0.03030303;
MaasStroom Energie CV;Maasstroom Energie CV;NA;0.031746032;
Diolen Industrial Fibers;Diolen Industrial Fibers BV;NA;0.037037037;
Bunge Loders Croklaan Wormerveer;Bunge Loders Croklaan Worrmerveer;NA;0.04135101;
Cargill Bioindustrial;Cargill Bioindustrial BV;NA;0.041666667;
Power Plant Rotterdam BV;Power Plant Rotterdam;NA;0.041666667;
Uniper HWC Delftse Vaart;Uniper HWC Delftsevaart;NA;0.042270531;
TU Delft, Warmte-Krachtcentrale;TU Delft Warmtekrachtcentrale;NA;0.043752317;
Royal Pride Holland BV;Royal Pride Holland;NA;0.045454545;
WKC De Eendracht bv;WKC De Eendracht;NA;0.052631579;
Almatis B.V.;Almatis BV;NA;0.055555556;
SABIC Innovative Plastics BV BKG 1;SABIC Innovative Plastics BV;NA;0.058823529;
Zwanenberg Food Oss BV;Zwanenberg Food Oss bv;NA;0.060606061;
FrieslandCampina Meppel (Kievit);FrieslandCampina Kievit (Meppel);NA;0.0625;
Gunvor Energy Rotterdam BV;Gunvor Energy Rotterdam BV (GPR);NA;0.0625;
Crown Van Gelder NV;Crown van Gelder BV;NA;0.070175439;
Wienerberger BV Steenfabriek Schipperswaard;Wienerberger Steenfabriek Schipperswaard;NA;0.073255814;
DMV International BV, locatie Uitgeest;DMV International, locatie Uitgeest;NA;0.073934837;
SCA Hygiene Products Tilburg BV;SCA Hygiene Products BV (Tilburg);NA;0.073965461;
Koole Tankstorage Botlek BV (BKG-1);Koole Tankstorage Botlek BV;NA;0.076190476;
Olam Cocoa;Olam Cocoa BV;NA;0.076923077;
Amercentrale;Amer Centrale;NA;0.079059829;
Wienerberger BV Steenfabriek Wolfswaard;Wienerberger Steenfabriek Wolfswaard;NA;0.081196581;
Wienerberger BV Steenfabriek Doorwerth;Wienerberger Steenfabriek Doorwerth;NA;0.083458647;
Wienerberger BV Steenfabriek Haaften;Wienerberger Steenfabriek Haaften;NA;0.088383838;
Wienerberger BV Steenfabriek Heteren;Wienerberger Steenfabriek Heteren;NA;0.088383838;
Radboudumc & Radboud universiteit;Radboudumc & Radboud Universiteit Nijmegen;NA;0.089466089;
FrieslandCampina Beilen;FrieslandCampina Born;NA;0.089717046;x
O-I Manufacturing Netherlands BV, vestiging Schiedam;O-I Manufacturing Netherlands BV Schiedam;NA;0.090838024;
Wienerberger BV Steenfabriek Nuance;Wienerberger Steenfabriek Nuance;NA;0.091071429;
Wienerberger BV Steenfabriek Poriso;Wienerberger Steenfabriek Poriso;NA;0.091071429;
Emerald Kalama Chemical BV;Emerald Kalama Chemical Rotterdam BV;NA;0.092592593;
Wienerberger BV Steenfabriek Thorn;Wienerberger Steenfabriek Thorn;NA;0.093927894;
BV Steenfabriek Spijk;Steenfabriek Spijk BV;NA;0.095238095;
Neenah Coldenhove Holding BV;Neenah Coldenhove BV;NA;0.095238095;
Zeeland Aluminium Company NV;Zeeland Aluminium Company (Zalco BV);NA;0.095238095;
Solidus Solutions Board BV loc Bad Nieuweschans;Solidus Solutions Board Bad Nieuweschans BV;NA;0.098136236;
Tata Steel IJmuiden bv BKG 1;Tata Steel IJmuiden BV;NA;0.098484848;
Dow Benelux BV BKG 1;Dow Benelux BV;NA;0.1;x
Wienerberger BV Steenfabriek Bemmel;Wienerberger Steenfabriek Bemmel;NA;0.101488095;
FrieslandCampina Bedum;FrieslandCampina Rotterdam;NA;0.107226107;
Givaudan Nederland BV;Givaudan Nederland BV (Naarden);NA;0.107526882;
Wintershall Noordzee BV Kotter K18;Wintershall Noordzee BV;NA;0.107843137;
Wienerberger BV Steenfabriek De Vlijt;Wienerberger Steenfabriek De Vlijt;NA;0.11036036;
Wienerberger BV Steenfabriek Kijfwaard Oost;Wienerberger Steenfabriek Kijfwaard Oost;NA;0.110755814;
Wienerberger BV Steenfabriek Kijfwaard West;Wienerberger Steenfabriek Kijfwaard West;NA;0.110755814;
Bunge Netherlands BV Amsterdam;Bunge Netherlands BV;NA;0.111111111;
Dow Benelux BV BKG 10;Dow Benelux BV;NA;0.111111111;x
Koole Tankstorage Pernis BV;Koole Tankstorage Minerals;NA;0.116829762;
O-I Manufacturing Netherlands BV, vestiging Leerdam;O-I Manufacturing Netherlands BV Schiedam;NA;0.118129494;x
FrieslandCampina Lochem;FrieslandCampina Born;NA;0.120082816;x
Shell Nederland Chemie BV, vest Moerdijk BKG 1;Shell Nederland Chemie BV (Moerdijk);NA;0.120180923;
Essent Productie Geleen BV WKC Swentibold;Essent Productie Geleen BV;NA;0.12195122;
Sonneborn Refined Products;Sonneborn Refined Products BV (Amsterdam);NA;0.12195122;
ENGIE Maximacentrale;Maxima-centrale;NA;0.122222222;
AKW Energy BV;TAQA Energy BV;NA;0.122710623;x
Solidus Solutions Board BV locatie Oude Pekela;Solidus Solutions Board Oude Pekela;NA;0.127329193;
Hollandplant BV;Holland Malt BV;NA;0.127350427;
FrieslandCampina Domo locatie Borculo;FrieslandCampina Domo (Borculo);NA;0.128060207;
Schreurs Holland BV;Pharr Holland BV;NA;0.129385965;
SCA Hygiene Products Cuijk BV;SCA Hygiene Products BV (Tilburg);NA;0.130830855;
EPZ Conventional Operations;EPZ NV (Conventional Operations);NA;0.132330247;
WKC Enschede;RWZI Enschede;NA;0.132478632;
ESD-SIC bv;ESD-SIC BV;NA;0.133333333;
Dana Petroleum Netherlands BV facility F2-A-Hanze;Dana Petroleum Netherlands BV;NA;0.136054422;
McCain Foods Holland BV, vestiging Lelystad;McCain Foods Holland BV (Lelystad);NA;0.136129161;
FrieslandCampina DMV BV, locatie Veghel;FrieslandCampina DMV BV;NA;0.136752137;
Cargill BV Multiseed Amsterdam;Cargill BV (Multiseed);NA;0.141414141;
Koninklijke Mosa BV, locatie Wandtegel;Koninklijke Mosa BV Wandtegelfabriek;NA;0.141751949;
ENGIE Energie Nederland NV Centrale Gelderland;ENGIE Energie Nederland NV;NA;0.144927536;
O-I Manufacturing Netherlands BV, vestiging Maastricht;O-I Manufacturing Netherlands BV Schiedam;NA;0.145085501;x
Parenco BV;Enerco BV;NA;0.14537037;
