Name in PRTR;Name in EUTL
A.C. Hartman BV;A.C. Hartman BV, locatie Sexbierum
Ondergrondse aardgasopslag Zuidwending;Aardgasbuffer Zuidwending
Abbott Healthcare Products BV (Weesp);Abbott Healthcare Products BV
Abbott Laboratories B.V.;Abbott Laboratories B.V.
AMC Academisch Medisch Centrum;Academisch Medisch Centrum (AMC)
Archer Daniels Midland Europoort BV (ADM);ADM Europoort B.V.
AGC Flatglass Nederland BV;AGC Flat Glass Nederland BV
Air Products Nederland BV (Botlek);Air Products Nederland B.V., Locatie Botlek (Merseyweg)
Albemarle Catalysts Company B.;Albemarle Catalysts Company B.V.
Alco Energy Rotterdam;Alco Energy Rotterdam BV
Almatis BV;Almatis B.V.
DAMCO Aluminium Delfzijl Coöperatie U.A.;Aluminium Delfzijl B.V. (Aldel)
Apollo Vredestein BV;Apollo Vredestein B.V.
Ardagh Glass Dongen BV;Ardagh Glass Dongen B.V.
Ardagh Glass Moerdijk BV;Ardagh Glass Moerdijk B.V.
Ashland Industries Nederland B.V.;Ashland Industries Nederland B.V.
