jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2000;60;Sappi Maastricht BV;Maastricht;Kooldioxide (CO2);276900000;kg
2000;62;Chemelot Site Permit BV;Geleen;Kooldioxide (CO2);2983143000;kg
2000;65;PQ Silicas BV;Eijsden;Kooldioxide (CO2);34138000;kg
2000;66;Marsna Paper B.V.;Meerssen;Kooldioxide (CO2);18996000;kg
2000;84;BASF Nederland B.V.;Maastricht;Kooldioxide (CO2);6057000;kg
2000;113;VDL Nedcar B.V.;Born;Kooldioxide (CO2);32000000;kg
2000;148;ENCI BV (Maastricht);Maastricht;Kooldioxide (CO2);776821000;kg
2000;159;Fenzi AGT Netherlands B.V.;Maastricht;Kooldioxide (CO2);4028597;kg
2000;174;Tata Steel Nederland Tubes BV locatie Maastricht;Maastricht;Kooldioxide (CO2);710655;kg
2000;325;Lawter Maastricht BV;Maastricht;Kooldioxide (CO2);3885021;kg
2000;1102;Honeywell Fluorine Products Europe B.V.;Weert;Kooldioxide (CO2);4934760;kg
2000;1104;Solvay Chemie BV;Herten;Kooldioxide (CO2);8156000;kg
2000;1107;Nouryon Functional Chemicals B.V.;Herkenbosch;Kooldioxide (CO2);10553585;kg
2000;1404;DSM Pharma Chemicals Venlo BV;Venlo;Kooldioxide (CO2);5163000;kg
2000;3513;MGG Netherlands BV;Tegelen;Kooldioxide (CO2);4337328;kg
2000;3853;Alcoa Nederland B.V.;Roermond;Kooldioxide (CO2);7089;kg
2000;4301;Smurfit Westrock Roermond Paper BV;Roermond;Kooldioxide (CO2);153055000;kg
2000;4753;Rockwool B.V.;Roermond;Kooldioxide (CO2);167350000;kg
2000;5727;EverZinc Nederland B.V.;Eijsden;Kooldioxide (CO2);13206000;kg
2000;5729;Celanese Production Netherlands B.V.;Geleen;Kooldioxide (CO2);5698301;kg
2000;5739;E-MAX BILLETS;Kerkrade;Kooldioxide (CO2);13621913;kg
2000;5740;WEPA Nederland B.V.;Swalmen;Kooldioxide (CO2);23782000;kg
2000;5743;Walkro Blitterswijck BV;Blitterswijck;Kooldioxide (CO2);331420;kg
2000;5746;Nuon Power Generation BV (Buggenum);Haelen;Kooldioxide (CO2);9870000;kg
2000;5750;FrieslandCampina Born;Born;Kooldioxide (CO2);4807000;kg
2000;9003;Everris International BV;Heerlen;Kooldioxide (CO2);8629;kg
2000;9014;Essent Productie Geleen B.V.;Geleen;Kooldioxide (CO2);800000000;kg
2000;10001;Nobian Industrial Chemicals BV (Rotterdam);Botlek Rotterdam;Kooldioxide (CO2);193179000;kg
2000;10002;Nouryon Performance Formulations b.v.;Europoort Rotterdam;Kooldioxide (CO2);33955000;kg
2000;10003;Synres B.V.;Hoek Van Holland;Kooldioxide (CO2);10540181;kg
2000;10004;Lyondell Chemical Nederland Ltd.;Botlek Rotterdam;Kooldioxide (CO2);108939349;kg
2000;10005;LBC Rotterdam BV;Botlek Rotterdam;Kooldioxide (CO2);5157000;kg
2000;10006;Shell Nederland Chemie BV (Pernis);Vondelingenplaat Rotterdam;Kooldioxide (CO2);55020000;kg
2000;10011;Leerdammer Company BV;Schoonrewoerd;Kooldioxide (CO2);598500;kg
2000;10012;Kemira Agro Pernis BV;Vondelingenplaat Rotterdam;Kooldioxide (CO2);449552;kg
2000;10013;Hydro Agri Rotterdam B.V.;Vlaardingen;Kooldioxide (CO2);9500;kg
2000;10016;Climax Molybdenum BV;Botlek Rotterdam;Kooldioxide (CO2);8002806;kg
2000;10017;Evonik Carbon Black Nederland BV;Botlek Rotterdam;Kooldioxide (CO2);141000000;kg
2000;10042;Kemira Rotterdam B.V. - locatie Botlek;Botlek Rotterdam;Kooldioxide (CO2);700000;kg
2000;10062;ExxonMobil Chemical Holland BV (RAP);Botlek Rotterdam;Kooldioxide (CO2);459524000;kg
2000;10063;AVR-Afvalverwerking;Botlek Rotterdam;Kooldioxide (CO2);2436202465;kg
2000;10073;Tronox Pigments (Holland) BV;Botlek Rotterdam;Kooldioxide (CO2);105866000;kg
2000;10076;HVC AfvalEnergieCentrale Dordrecht;Dordrecht;Kooldioxide (CO2);299343754;kg
2000;10079;Chemours Netherlands B.V.;Dordrecht;Kooldioxide (CO2);273346951;kg
2000;10082;Akzo Nobel Car Refinishes B.V.;Sassenheim;Kooldioxide (CO2);3851500;kg
2000;10086;NV Nutricia Zoetermeer;Zoetermeer;Kooldioxide (CO2);8722000;kg
2000;10095;Delft Gelatin B.V.;Delft;Kooldioxide (CO2);13489650;kg
2000;10097;SD Guthrie International Zwijndrecht Refinery B.V.;Zwijndrecht;Kooldioxide (CO2);56602950;kg
2000;10546;Lactalis Leerdammer BV (Schoonrewoerd);Schoonrewoerd;Kooldioxide (CO2);3270000;kg
2000;10590;FrieslandCampina Rotterdam;Rotterdam;Kooldioxide (CO2);2466000;kg
2000;10615;ENCI BV (Rotterdam);Botlek Rotterdam;Kooldioxide (CO2);20669441;kg
2000;10621;Hunter Douglas Europe BV;Rotterdam;Kooldioxide (CO2);16687000;kg
2000;10687;Biotech Campus Delft;Delft;Kooldioxide (CO2);198430000;kg
2000;10689;Air Products Nederland BV (Botlek);Botlek Rotterdam;Kooldioxide (CO2);206823000;kg
2000;10698;Cargill Bioindustrial BV;Gouda;Kooldioxide (CO2);50681244;kg
2000;10722;O-I Manufacturing Netherlands BV Schiedam;Schiedam;Kooldioxide (CO2);75961415;kg
2000;10723;O-I Netherlands BV (Leerdam);Leerdam;Kooldioxide (CO2);116140181;kg
2000;10738;Cerexagri BV / ARKEMA Rotterdam BV;Vondelingenplaat Rotterdam;Kooldioxide (CO2);10045000;kg
2000;10793;Tata Steel Nederland Tubes BV locatie Zwijndrecht;Zwijndrecht;Kooldioxide (CO2);987660;kg
2000;10829;Cosun Beet company (Puttershoek);Puttershoek;Kooldioxide (CO2);81733225;kg
2000;10928;Aluminium & Chemie Rotterdam B.V.;Botlek Rotterdam;Kooldioxide (CO2);126284000;kg
2000;10971;Ferro (Holland) B.V. (HS);Rotterdam;Kooldioxide (CO2);8723000;kg
2000;10972;Ferro (Holland) B.V. (IW);Rotterdam;Kooldioxide (CO2);2371000;kg
2000;11024;Cabot B.V.;Botlek Rotterdam;Kooldioxide (CO2);167889730;kg
2000;11046;PURAC Biochem B.V.;Gorinchem;Kooldioxide (CO2);68120000;kg
2000;11105;Heineken Netherlands Supply B.V., brouwerij Zoeterwoude;Zoeterwoude;Kooldioxide (CO2);77162013;kg
2000;11111;Ashland Industries Nederland B.V.;Zwijndrecht;Kooldioxide (CO2);20443000;kg
2000;11366;LANXESS Rotterdam Botlek;Botlek Rotterdam;Kooldioxide (CO2);279519000;kg
2000;12134;Archer Daniels Midland Europoort BV (ADM);Europoort Rotterdam;Kooldioxide (CO2);301903000;kg
2000;12135;ExxonMobil Chemical Holland BV (ROP van RPI);Europoort Rotterdam;Kooldioxide (CO2);87932000;kg
2000;12147;E.ON Warmte Station Galileistraat;Rotterdam;Kooldioxide (CO2);521279000;kg
2000;12149;Uniper Benelux NV (Maasvlakte);Maasvlakte Rotterdam;Kooldioxide (CO2);5290000000;kg
2000;12158;HVC Slibverbrandingsinstallatie;Dordrecht;Kooldioxide (CO2);108006500;kg
2000;12162;Evos Rotterdam B.V.;Europoort Rotterdam;Kooldioxide (CO2);7870574;kg
2000;12167;UZIMET BV;Rijswijk;Kooldioxide (CO2);225000;kg
2000;12168;INV NYLON CHEMICALS NETHERLANDS B.V.;Botlek Rotterdam;Kooldioxide (CO2);10727950;kg
2000;12170;FrieslandCampina Maasdam;Maasdam;Kooldioxide (CO2);1901000;kg
2000;12171;Zuivelfabriek De Graafstroom;Bleskensgraaf Ca;Kooldioxide (CO2);3267880;kg
2000;12172;Promelca B.V. (Gorinchem);Gorinchem;Kooldioxide (CO2);25381000;kg
2000;12174;Ducor Petrochemicals B.V.;Botlek Rotterdam;Kooldioxide (CO2);8370169;kg
2000;12176;Air Products Nederland BV (Pernis);Vondelingenplaat Rotterdam;Kooldioxide (CO2);532095000;kg
2000;12177;VPR Energy B.V.;Europoort Rotterdam;Kooldioxide (CO2);60560000;kg
2000;13001;Tessenderlo Chemie Rotterdam BV;Vlaardingen;Kooldioxide (CO2);7972949;kg
2000;19004;ExxonMobil Chemical Holland BV (RPP van RPI);Botlek Rotterdam;Kooldioxide (CO2);35134000;kg
2000;19071;Shin-Etsu PVC BV (VCM Botlek);Botlek Rotterdam;Kooldioxide (CO2);77943500;kg
2000;19072;FrieslandCampina Nederland B.V.;Noordwijk;Kooldioxide (CO2);1305000;kg
2000;21010;Sonneborn Refined Products BV (Amsterdam);Amsterdam;Kooldioxide (CO2);26280000;kg
2000;21011;Rütgers Resins B.V.;Uithoorn;Kooldioxide (CO2);23582000;kg
2000;21101;Ketjen Netherlands BV;Amsterdam;Kooldioxide (CO2);86629000;kg
2000;21102;ICL FERTILIZERS EUROPE C.V.;Amsterdam;Kooldioxide (CO2);15767000;kg
2000;21103;DSM Agro BV;Velsen-Noord;Kooldioxide (CO2);11171000;kg
2000;21104;GE Plastics ABS B.V.;Amsterdam;Kooldioxide (CO2);13913000;kg
