ETS_Name;PRTR_Name;EUTL_Name;Similarity;
Karmsund Protein;Karmsund protein;NA;0.041666667;
Elkem Bremanger;Elkem bremanger;NA;0.044444444;
Elkem Thamshavn;Elkem thamshavn;NA;0.044444444;
Ineos Rafnes;Ineos rafnes;NA;0.055555556;
Elkem Salten;Elkem salten;NA;0.055555556;
Elkem Bjølvefossen;Elkem bjlvefossen;NA;0.05664488;
Elkem Rana;Elkem rana;NA;0.066666667;
Verdalskalk AS;Verdalskalk;NA;0.071428571;
Drammen Fjernvarme AS;Drammen fjernvarme;NA;0.082010582;
Finnfjord AS;Finnfjord;NA;0.083333333;
Statnett SF Reservekraftanlegg Tjeldbergodden;Statnett reservekraftanlegg tjeldbergodden;NA;0.086243386;
Welcon Moldtustranda AS;Welcon moldtustranda as;NA;0.086956522;
Huntonit AS;Huntonit;NA;0.090909091;
Celsa Armeringsstål AS;Celsa armeringsstl;NA;0.094276094;
Ruukki Profiler AS;Ruukki profiler;NA;0.096296296;
Fluorsid Noralf;Fluorsid noralf as;NA;0.096296296;
Hunsfos Fabrikker AS;Hunsfos fabrikker as;NA;0.1;
Esso Norge AS, Slagentangen;Esso norge slagentangen;NA;0.103059581;
Eramet Norway AS, Kvinesdal;Eramet norway kvinesdal;NA;0.103059581;
Huhtamaki Norway AS;Huhtamaki norway as;NA;0.105263158;
Pelagia AS Egersund Sildoljefabrikk;Pelagia egersund sildoljefabrikk;NA;0.10734127;
Vajda-Papir Scandinavia AS;Vajda-papir scandinavia;NA;0.108961087;
Norgips Norge AS;Norgips norge;NA;0.108974359;
Prima Protein AS;Prima protein;NA;0.108974359;
Wienerberger AS Bratsberg Teglverk;Wienerberger, bratsberg teglverk;NA;0.10900524;
Pelagia AS Bodø Sildoljefabrikk;Pelagia bod sildoljefabrikk;NA;0.109207487;
Boliden Odda AS;Boliden odda;NA;0.116666667;
Pelagia AS Måløy Sildoljefabrikk;Pelagia mly sildoljefabrikk;NA;0.117608025;
Welcon Egersund AS;Welcon egersund;NA;0.12010582;
Hellefoss Paper AS;Hellefoss paper;NA;0.12010582;
Eramet Norway AS, Sauda;Eramet norway sauda;NA;0.122044241;
Naturkraft AS Kårstø;Naturkraft krst;NA;0.122222222;
Hydro Aluminium AS Årdal Karbon;Hydro aluminium rdal karbon;NA;0.12254082;
Norske Skog Skogn AS;Norske skog skogn;NA;0.12254902;
Glava AS Stjørdal;Glava stjrdal;NA;0.123680241;
Glava AS Askim;Glava askim;NA;0.125541126;
Eidsiva Bioenergi Elverum;Eidsiva bioenergi avd. elverum;NA;0.126183575;
Sør-Norge Aluminium AS;Sr-norge aluminium;NA;0.127946128;
Hydro Aluminium AS Årdal metallverk;Hydro aluminium rdal metallverk;NA;0.130593958;
Peterson Linerboard AS Moss;Peterson linerboard as, moss;NA;0.130645656;
Wacker Chemicals Norway AS;Wacker chemicals norway;NA;0.132770611;
Larvik Cell AS;Larvik cell as;NA;0.142857143;
Eramet Norway AS, Porsgrunn;Eramet norway as porsgrunn;NA;0.143313477;
Pelagia AS Karmsund Fiskemel;Pelagia karmsund fiskemel;NA;0.144161491;
Kronos Titan AS;Kronos titan;NA;0.146969697;
Ferroglobe Mangan Norway AS;Ferroglobe mangan norge;NA;0.156736447;
Inovyn Norge AS Rafnes;Inovyn norge avd. rafnes;NA;0.162457912;
Hurum Paper Mill AS;Hurum paper mill as;NA;0.162573099;
3B-Fibreglass Norway AS;3b-fibreglass norway;NA;0.166368286;
MM FollaCell;Mm follacell;NA;0.166666667;
Rygene Smith & Thommesen AS;Rygene-smith & thommesen;NA;0.171296296;
Norske Skog Saugbrugs AS;Norske skog saugbrugs;NA;0.171365915;
Alcoa Norway ANS, Mosjøen;Alcoa norway as mosjen;NA;0.181717172;
Tine Meieriet Jæren;Tine avd. j�ren;NA;0.186117468;
Södra Cell Tofte AS;Sdra cell tofte;NA;0.188169141;
Eidsiva Bioenergi AS avdeling Hamar;Eidsiva bioenergi avd. b�rstad, hamar;NA;0.190793651;
Tafjord Kraftvarme AS;Tafjord kraftvarme avd produksjon;NA;0.199134199;
Agder Energi Varme;Parkveien varmesentral - agder energi varme;NA;NA;
Dynea AS Lillestrøm fabrikker;Dynea lillestr�m;NA;NA;
Vadsø Sildeoljefabrikk AS;NA;NA;NA;
TripleNine Vedde AS;Vedde;NA;NA;x
Vafos Pulp AS;NA;NA;NA;
Statkraft Varme AS avdeling Gardermoen;NA;NA;NA;
Hafslund Oslo Celsio AS;Hafslund oslo celsio as avd klemetsrudveien;NA;NA;
Yara Norge AS Glomfjord;Yara glomfjord;NA;NA;
Yara Norge AS Porsgrunn;Yara porsgrunn;NA;NA;
Øraveien Industripark AS;NA;NA;NA;
Østfold Energi AS;NA;NA;NA;
Avinor AS avd Oslo Lufthavn Gardermoen;Gardermoen flystasjon;NA;NA;
Bio-El Fredrikstad;NA;NA;NA;
Statoil ASA Mongstad kraftvarmeverk;Mongstad raffineri;NA;NA;
Aker BP ASA Skarvfeltet;NA;NA;NA;
Sarpsborg Avfallsenergi AS;NA;NA;NA;
Neptune Energy Norge AS Gjøa;NA;NA;NA;
Risavika Production;NA;NA;NA;
Repsol Norge AS Ymefeltet;NA;NA;NA;
Vår Energi AS Balder og Ringhorne;NA;NA;NA;
Vår Energi AS Jotun;NA;NA;NA;
Oslofjord Varme AS Sandvika;NA;NA;NA;
Oslofjord Varme AS Fornebu-Lysaker;NA;NA;NA;
Oslofjord Varme AS Ahus;NA;NA;NA;
FREVAR KF;Frevar - forbrenningsanlegget;NA;NA;
BKK Produksjon AS;Bkk produksjon;NA;NA;
Gasnor AS;Gasnor kollsnes;NA;NA;
28088;NA;NA;NA;
5343;NA;NA;NA;
22212;NA;NA;NA;
37084;NA;NA;NA;
33705;NA;NA;NA;
3536;NA;NA;NA;
Atla boreoperasjon Total E&P Norge;NA;NA;NA;
f10118;NA;NA;NA;x
Equinor Petroleum AS Valemonfeltet;NA;NA;NA;
Oselvarfeltet;NA;NA;NA;
Repsol Norge AS Revfeltet;NA;NA;NA;x
Skagerak Varme;NA;NA;NA;
Jette;NA;NA;NA;
f10772;NA;NA;NA;
24142;NA;NA;NA;
37652;NA;NA;NA;
f10893;NA;NA;NA;
Gassco AS Draupner S/E stigerørsinnretning;NA;NA;NA;
Gassco AS Kollsnes gassanlegg;Gassco as kollsnes prosessanlegg;NA;NA;
Gassco AS Kårstø gassprosesseringsanlegg;Gassco as k�rst� prosessanlegg;NA;NA;
GE Healthcare AS Lindesnes Fabrikker;Ge healthcare lindesnes;NA;NA;
