Anleggsnavn;Fylke;Kommune;NACE Kode;year;ets_emissions;Grunnlagsverdi for luft;utslipp;Grunnlagsverdi for vann;Enhet;AnleggId;Org.nr.
Borregaard avd. spesialcellulose;Østfold;Sarpsborg;17.11;2019;125.137;B;;;1000 tonn;5086;974286599
Borregaard avd. spesialcellulose;Østfold;Sarpsborg;17.11;2020;118.2;B;;;1000 tonn;5086;974286599
Borregaard avd. spesialcellulose;Østfold;Sarpsborg;17.11;2021;137.579;B;;;1000 tonn;5086;974286599
Borregaard avd. spesialcellulose;Østfold;Sarpsborg;17.11;2022;143.042;B;;;1000 tonn;5086;974286599
Borregaard avd. spesialcellulose;Østfold;Sarpsborg;17.11;2023;119.152;B;;;1000 tonn;5086;974286599
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2007;7.192;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2008;0.13;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2009;0.687;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2010;0.2;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2011;0.79;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2012;0.14;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2013;0.08;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2014;0.0066;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2015;0.008;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2016;0.013;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2017;0.0025;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2018;0.136;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2019;0.013;B;;;1000 tonn;658;971703598
Biosirk norge as, avd. trehørningen, hamar;Innlandet;Hamar;10.91;2020;0.22;B;;;1000 tonn;658;971703598
