EUTL_ID;EUTL_Name;PRTR_Site_Name;PRTR_PlantID;Distance_m;avg_name_score;manual
GB_207547;Peak Gen Fareham;Fareham;14414;0.004662179;0.326755521;1
GB_616;The Westfield Biomass Plant;Westfield Biomass Plant;9031;0.767371234;0.53710216;1
GB_687;CATS Terminal;Seal Sands  Hexamethylenediamine;14066;1.629253294;0.369330143;0
GB_1017;Solenis - Bradford;Low Moor;40520;1.674167389;0.369215839;0
GB_210979;Conrad (Benfleet);Benfleet Power Generation Plant;43078;1.878946574;0.395129581;1
GB_207765;SDC01;Thurrock Data Centre;14656;1.956979528;0.279632505;0
GB_208974;Global Switch Limited;London;14671;1.995715211;0.360829086;0
GB_210454;Private Road No.5;Colwick;40499;2.274646934;0.313245951;0
GB_845;McCain - Grantham;Grantham;14970;2.339311583;0.375465839;1
GB_987;J G Pears (Newark) Limited;Low Marnham;40270;2.34492912;0.407473414;0
GB_202260;ETAC Plant;Saltend Bioethanol Plant;43108;2.425101287;0.376854727;0
GB_358;BP Chemicals Ltd, Hull;Saltend Bioethanol Plant;43108;2.425101287;0.380054618;0
GB_989;James Cropper PLC;Burneside Mills;8517;3.153637949;0.315957292;0
GB_994;Billerudkorsnas Beetham Ltd;Milnthorpe;4333;3.910807563;0.36755521;0
GB_208745;20 Fenchurch Street;London;14662;4.376738732;0.316182213;0
GB_210978;Conrad (Heybridge) Limited;Maldon;43079;5.075049845;0.34907695;0
GB_209182;LON3;Sovereign House;14931;5.121583104;0.385188061;0
GB_259;Sterling Pharma Solutions Ltd;Cramlington;8395;5.234312558;0.401922067;0
GB_273;Rhodia Pharma Solutions - Holmes Chapel;Cramlington;8395;5.234312558;0.374380662;0
GB_210106;Greys Hall Power Limited;Sudbury;43075;5.822433932;0.317727743;0
GB_1268;Perenco Natural Gas Terminal;Bacton;396;5.977470221;0.381616632;0
GB_859;Rockwool Bridgend;Bridgend;7059;7.056751545;0.340907015;1
GB_755;Diageo Runcorn Packaging;Runcorn;8934;7.325111663;0.435386473;1
GB_1064;Sonoco Cores and Paper Ltd;Stainland;11700;7.865827767;0.410103886;0
GB_1093;Linergy Ltd;Glenavy;5182;8.088349139;0.428442029;0
GB_865;Venator Materials UK Limited;Greatham;9099;9.607877795;0.380122701;0
GB_586;Moy Park Ltd., Dungannon;Dungannon;8995;10.89003785;0.368521394;1
GB_587;Moy Park Ltd., Craigavon;Dungannon;8995;10.89003785;0.251854727;0
GB_202236;LDC2;East Grinstead;13443;11.88778425;0.112965839;0
GB_200;Star Energy UK Onshore Ltd;Alton;10534;12.03061741;0.350392739;0
GB_206071;Clifford Chance - London;10 Upper Bank Street;14210;13.170473;0.291753717;0
GB_202238;JPM - 25 Bank Street;25 Bank Street, Canary Wharf;13438;15.1613813;0.433336209;1
GB_817;Ibstock Brick Ltd Chesterton Factory;Chesterton Brickworks;8453;16.71985797;0.444811077;1
GB_212520;Pimbo;Skelmersdale;40522;18.24850963;0.326854727;0
GB_1112;Barclays Capital 5 North Colonnade;1 Churchill Place, Canary Wharf;8970;19.41135239;0.409616165;0
GB_206835;Colt technology services - Welwyn;Welwyn Garden City;14229;19.67346237;0.405792785;0
GB_246;BYK Additives Limited;Widnes;9585;23.26053237;0.320230796;0
GB_821;Ibstock Brick Ltd - Funton Factory;Funton Brickworks;8456;24.00335538;0.377671721;0
GB_803;PQ Silicas Boilerplant;Warrington;1379;26.84619265;0.296804222;0
GB_796;Magners GB Ltd;Shepton Mallet;7606;28.0294241;0.331219807;0
GB_203132;Ingevity UK Ltd;Warrington;13765;28.3167179;0.429632505;0
GB_1090;William Forrest & Son (Paisley) Limited;Motherwell;9696;28.90756465;0.372643258;0
GB_917;Tioxide Grimsby CHP Plant;Huntsman Tioxide Grimsby CHP;8156;30.36529051;0.497990901;1
GB_202711;Barclays Capital - 10 South Colonnade;10 South Colonnade, Canary Wharf;13447;30.43870585;0.38804691;1
GB_780;Barclays Head Office;London;8972;30.55082998;0.351854727;0
GB_1261;HQ3 Boilers and Generators;40 Bank Street, Canary Wharf;13059;31.24191133;0.401712277;0
GB_450;EPR Glanford Ltd;Glanford;8759;32.66275558;0.484493616;1
GB_1040;Carlsberg UK Ltd - Northampton Brewery;Northampton Brewery;14400;32.93360739;0.480933171;1
GB_646;Boiler Plant - Drungans;Cargenbridge;2635;34.12518508;0.406715839;0
GB_375;Sensient Flavors Limited;Felinfach;8633;34.56876288;0.390975098;0
GB_785;Volac International Ltd;Felinfach;8633;34.56876288;0.360041862;0
GB_225;AAK (UK);King George Dock;9252;34.58911549;0.345604727;0
GB_1038;International Paper UK Ltd;Inverurie;6983;35.3048507;0.416084747;0
GB_208262;Centurylink Communications UK Limited;London;14665;35.52681314;0.353884642;0
GB_824;Ibstock Brick Ltd Laybrook Factory;Laybrook Brickworks;8458;35.81632808;0.448026976;1
GB_208462;Maylands;Hemel Hempstead;14663;35.93280863;0.375465839;0
GB_447;A. Brunnschweiler and Co.;Hyde;8755;36.57595277;0.379632505;0
GB_793;Seqirus Vaccines;Speke;9306;37.26271602;0.367132505;0
GB_1046;Milklink Staplemead;Staplemead Creamery;9567;37.5041539;0.347066716;1
GB_210536;Pelagia Aberdeen;Aberdeen;5206;39.19960248;0.362965839;1
GB_848;Novartis Grimsby Limited;Grimsby;8021;39.37689455;0.382311077;1
GB_205862;Egger Barony;Auchinleck;14697;40.75342546;0.257410283;0
GB_924;Budweiser Stag Brewing Company Ltd;Stag Brewery;9312;40.89881405;0.439986041;1
GB_816;Ibstock Brick Ltd Chailey Factory;Chailey Brickworks;8452;41.32999596;0.360320336;1
GB_206174;The Combination Of Rothes Distillers Limited;Rothes;13624;41.935138;0.325928801;1
GB_741;Sofidel UK Baglan;Baglan;40536;42.68036204;0.358997585;1
GB_208966;Oliver's Yard - LHR18;London;14681;42.70165467;0.269398587;0
GB_993;Ahlstrom-Munksjo Chirnside Limited;Chirnside;7538;44.60569106;0.316847605;1
GB_659;DSM Dalry;Dalry;9075;45.77760964;0.331484357;1
GB_944;Glen Dimplex UK Limited - Coopers Bank;Coopers Bank;13737;46.89363715;0.299354727;1
GB_888;Vernacare;Bolton;8070;47.91510556;0.325928801;0
GB_302;Weston Point CHP Station;Salt Union CHP;8497;48.02240294;0.464562159;0
GB_802;HINTON,PERRY & DAVENHILL LTD;Dreadnought Brickworks;8170;48.5251448;0.357721083;0
GB_369;Gerber Foods Soft Drinks Ltd;Bridgwater;8622;48.5387081;0.36157695;0
GB_1022;Solvay Interox Limited;Warrington;13765;49.28821217;0.422489648;0
GB_206838;Computer Centre;Camberley;14230;49.71184277;0.427780653;0
GB_1034;boiler house marlbrook;Marlbrook;9257;50.16458279;0.380642606;1
GB_818;Ibstock Brick Ltd Dorket Head Factory;Dorket Head Brickworks;8454;50.65634302;0.409935535;1
GB_991;Cargill - Trafford Park;Trafford Park;8540;50.9927948;0.478960955;1
GB_1006;Rolls-Royce plc - Derby;Nightingale Road, Derby;8573;52.39477894;0.42535443;0
GB_943;Etex Building Performance Ltd- Ferrybridge;Ferrybridge;11059;52.48254008;0.382462608;1
GB_831;Ibstock Brick Ltd Roughdales Factory;Roughdales Brickworks;8465;52.48602956;0.388759489;1
GB_596;Nynas UK AB Dundee;Dundee;3122;52.99321147;0.357410283;1
GB_317;Syral Greenwich;Greenwich;9573;53.15458296;0.527780653;1
GB_1021;Pilkington United Kingdom Ltd - Watson Street;Watson Street;8237;53.49036717;0.363576339;1
GB_209904;Francis Crick;London;14954;53.51269899;0.320230796;0
GB_759;University of Exeter;Exeter;8949;54.46210759;0.332410283;1
GB_830;Ibstock Brick Ltd - Ravenhead;Ravenhead Brickworks;8464;54.75768274;0.355035082;1
GB_203794;Lucite International - Billingham;Billingham;7045;56.87848832;0.356514226;1
GB_976;Essity UK Limited - Prudhoe Mill;Skelmersdale;40522;57.16622056;0.378734427;0
GB_513;University Hospitals of Leicester NHS Trust;Leicester Royal Infirmary;8854;57.42078451;0.405381179;1
GB_1252;LRS Coleford;Royal Forest Factory;14215;57.94902283;0.418521394;0
GB_988;Marley Limited - Keele Works;Keele Works;40507;58.02677685;0.365743616;1
GB_1269;Primary Energy Plant;Broadcasting House;14219;58.33636556;0.356352082;0
GB_213041;Baxter Healthcare Limited Thetford;Thetford;40711;58.56115205;0.349183787;1
GB_812;Ibstock Brick Ltd - Ashdown;Ashdown Brickworks;8448;59.37713533;0.402648378;1
GB_885;ISP Alginates (UK)Ltd.;Girvan;7242;59.63540278;0.401427377;0
GB_182;Glaxo Wellcome Operations - Dartford;Ulverston;8171;59.83006349;0.364599825;0
GB_597;GlaxoSmithKline Montrose;Ulverston;8171;59.83006349;0.390743616;0
GB_276;University of Bristol;Bristol;8426;60.04447353;0.405029331;1
GB_205950;Hanson Quarry Products Europe - Ardingly;Ardingly;14211;61.65283966;0.33906233;1
GB_204764;Norbord Inverness;Inverness;2678;62.36228444;0.421244706;1
GB_204992;Liberty Merchant Bar plc;Scunthorpe;6515;62.39381883;0.296299172;0
GB_835;Ibstock Brick Ltd West Hoathly Factory;West Hoathly Brickworks;8470;62.57395872;0.42522197;1
GB_1091;Wellpark Brewery;Caledonian Brewery;11490;62.69380429;0.427885872;0
GB_957;Stoelzle Flaconnage Limited;Knottingley;8730;63.13006338;0.332583063;0
GB_207546;Peak Gen Barry;Barry;14451;63.74541485;0.3248706;1
GB_938;PVC3 Barry Site;Barry;14451;63.74541485;0.329632505;1
GB_974;SCA Hygiene Products UK Ltd - Oakenholt Paper Mill;Oakenholt;4353;64.44319141;0.37819361;1
GB_205884;Vivergo Bioethanol Plant;Saltend Bioethanol Plant;43108;65.07834462;0.425465839;1
