Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
1998;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;14856.21;Tonnes;England
1999;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;22506.81818;Tonnes;England
2000;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;22203.68727;Tonnes;England
2001;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;20527.81636;Tonnes;England
2002;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;21503.69455;Tonnes;England
2003;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;21681.81818;Tonnes;England
2004;2;Carbon Dioxide as Carbon;156;Seal Sands;452150;524260;Amoco (UK) Exploration Co Ltd;3;Oil & gas exploration and production;18785.70316;Tonnes;England
1998;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;18838.63636;Tonnes;Wales
1999;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;18575.72727;Tonnes;Wales
2000;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;18252.54545;Tonnes;Wales
2001;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;20833.90909;Tonnes;Wales
2002;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;20421.54545;Tonnes;Wales
2003;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;22350.81818;Tonnes;Wales
2004;2;Carbon Dioxide as Carbon;345;Holywell;312200;383900;BHP Billiton Petroleum Ltd;3;Oil & gas exploration and production;19566.8923;Tonnes;Wales
1998;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;18464.50909;Tonnes;England
1999;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;12275.72727;Tonnes;England
2000;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;14147.01744;Tonnes;England
2001;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;14554.17495;Tonnes;England
2002;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;15202.55969;Tonnes;England
2003;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;7495.511727;Tonnes;England
2004;2;Carbon Dioxide as Carbon;396;Bacton;633190;334440;BP Amoco Exploration Ltd;3;Oil & gas exploration and production;7733.439355;Tonnes;England
1998;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;39873.78477;Tonnes;England
1999;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;26617.21261;Tonnes;England
2000;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;24992.32544;Tonnes;England
2001;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;24583.31342;Tonnes;England
2002;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;20762.07633;Tonnes;England
2003;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;21102.99982;Tonnes;England
2004;2;Carbon Dioxide as Carbon;419;Dimlington;539800;420300;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;21280.80052;Tonnes;England
1998;2;Carbon Dioxide as Carbon;422;Wareham;397500;85130;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;57968.18182;Tonnes;England
1999;2;Carbon Dioxide as Carbon;422;Wareham;397500;85130;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;25875.59523;Tonnes;England
2000;2;Carbon Dioxide as Carbon;422;Wareham;397500;85130;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;23338.09091;Tonnes;England
