UK_PRTR_Sector,Full_panel_sector
Oil & gas exploration and production,Refineries & chemicals
"Food, drink & tobacco industry",Food & beverages
Chemical industry,Refineries & chemicals
Iron & steel industries,Metals
Commercial,Other manufacturing
Other mineral industries,Cement & minerals
"Paper, printing & publishing industries","Pulp, paper & wood"
Non-ferrous metal industries,Metals
Cement,Cement & minerals
Lime,Cement & minerals
Other industries,Other manufacturing
Public administration,Other manufacturing
Major power producers,Power & heat (combustion)
Vehicles,Other manufacturing
Processing & distribution of natural gas,Power & heat (combustion)
"Agriculture, forestry & fishing",Other manufacturing
Electrical engineering,Other manufacturing
Processing & distribution of petroleum products,Refineries & chemicals
Water & sewerage,Other manufacturing
Minor power producers,Power & heat (combustion)
"Waste collection, treatment & disposal",Other manufacturing
Miscellaneous,Other manufacturing
Other fuel production,Power & heat (combustion)
Mechanical engineering,Other manufacturing
"Textiles, clothing, leather & footwear",Other manufacturing
Construction,Other manufacturing
