Main Activity Sector Name,Country,Year,ETS information,Emissions Unit,ETS Information
20-99 All stationary installations,EU27,2024,2. Verified emissions,t CO2-eq,1000 803 779.000
20-99 All stationary installations,EU27,2023,2. Verified emissions,t CO2-eq,1071 519 506.000
20-99 All stationary installations,EU27,2022,2. Verified emissions,t CO2-eq,1285 754 086.000
20-99 All stationary installations,EU27,2021,2. Verified emissions,t CO2-eq,1308 765 811.000
20-99 All stationary installations,EU27,2020,2. Verified emissions,t CO2-eq,1225 089 559.000
20-99 All stationary installations,EU27,2019,2. Verified emissions,t CO2-eq,1385 309 197.000
20-99 All stationary installations,EU27,2018,2. Verified emissions,t CO2-eq,1527 108 002.000
20-99 All stationary installations,EU27,2017,2. Verified emissions,t CO2-eq,1590 432 651.000
20-99 All stationary installations,EU27,2016,2. Verified emissions,t CO2-eq,1576 276 231.000
20-99 All stationary installations,EU27,2015,2. Verified emissions,t CO2-eq,1599 391 121.000
20-99 All stationary installations,EU27,2014,2. Verified emissions,t CO2-eq,1588 935 716.000
20-99 All stationary installations,EU27,2013,2. Verified emissions,t CO2-eq,1656 259 806.000
20-99 All stationary installations,EU27,2012,2. Verified emissions,t CO2-eq,1617 340 801.000
20-99 All stationary installations,EU27,2011,2. Verified emissions,t CO2-eq,1664 430 607.000
20-99 All stationary installations,EU27,2010,2. Verified emissions,t CO2-eq,1682 183 096.000
20-99 All stationary installations,EU27,2009,2. Verified emissions,t CO2-eq,1628 443 358.000
20-99 All stationary installations,EU27,2008,2. Verified emissions,t CO2-eq,1835 256 139.000
20-99 All stationary installations,EU27,2007,2. Verified emissions,t CO2-eq,1908 149 616.000
20-99 All stationary installations,EU27,2006,2. Verified emissions,t CO2-eq,1784 628 820.000
20-99 All stationary installations,EU27,2005,2. Verified emissions,t CO2-eq,1771 563 344.000
20-99 All stationary installations,EU27,2020,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 343 822.000
20-99 All stationary installations,EU27,2019,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 384 355.000
20-99 All stationary installations,EU27,2018,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 443 702.000
20-99 All stationary installations,EU27,2017,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 517 587.000
20-99 All stationary installations,EU27,2016,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 471 610.000
20-99 All stationary installations,EU27,2015,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 533 359.000
20-99 All stationary installations,EU27,2014,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 546 197.000
20-99 All stationary installations,EU27,2013,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,- 569 233.000
20-99 All stationary installations,EU27,2012,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,93 463 954.000
20-99 All stationary installations,EU27,2011,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,97 288 343.000
20-99 All stationary installations,EU27,2010,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,102 070 473.000
20-99 All stationary installations,EU27,2009,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,110 584 161.000
20-99 All stationary installations,EU27,2008,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,123 342 745.000
20-99 All stationary installations,EU27,2007,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,175 909 736.000
20-99 All stationary installations,EU27,2006,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,272 903 203.000
20-99 All stationary installations,EU27,2005,3. Estimate to reflect current ETS scope for allowances and emissions,t CO2-eq,287 188 685.000
