Country,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Annex I,Total GHG emissions with LULUCF,17858541.93,17343209.87,16743690.43,16456848.67,16109455.14,16105245.34,16280137.78,16080468.26,15954565.25,15887790.56,16198184.48,16032858.65,16123380.42,16328711.61,16559059.14,16565281.48,16510761.77,16748994.48,16274927.53,15068599.73,15510625.22,15379517.85,15146619.51,15249222.79,14977281.67,14988754.89,14618755.11,14776048.73,14969450.84,14686398.83,13435693.93,13737406.61
Annex I,1.  Energy,15222331.94,14955850.8,14477487.13,14323504.15,14108731.34,14164166.38,14463130.45,14348676.29,14342488.58,14378570.4,14602074.83,14620363.28,14638753.29,14878167.82,14982703.04,15029492.13,15013521.49,15119383.33,14797625.14,13880535.42,14296217.33,14128611.37,13927497.4,13899313.89,13667367.45,13492745.37,13324914.46,13335453.67,13445534.62,13101452.04,11981271.54,12210267.25
Annex I,1.AA  Fuel Combustion - Sectoral approach,14056437.54,13826673.35,13376596.48,13264751.88,13083185.59,13152387.39,13456746.45,13339209.54,13353345.73,13400062.27,13638445.43,13664087.5,13697790.39,13933169.36,14034491.4,14086153,14057576.91,14159814.85,13845745.84,12976170.26,13370260.64,13204030.82,13016001.34,12987276.4,12774776.61,12627085.11,12499354.79,12487720.13,12563159.96,12199549.36,11152075.93,11433431.6
Annex I,1.A.1  Energy Industries,5877323.024,5764598.874,5711247.835,5650494.529,5586407.884,5540438.891,5631639.683,5620007.119,5729098.322,5689593.529,5856322.369,5886082.679,5925962.081,6060655.191,6069414.869,6179528.08,6174875.563,6317562.239,6190016.038,5737118.456,5949244.358,5929843.754,5865074.258,5732457.5,5601330.081,5396939.233,5229556.036,5123128.785,5067743.921,4738127.784,4385202.899,4421275.714
Annex I,1.A.1.a  Public Electricity and Heat Production,5180307.068,5087589.589,5045807.137,4981095.896,4939422.381,4903752.967,4992739.122,4984413.069,5087770.712,5058970.849,5227350.81,5258862.776,5296083.61,5426658.103,5429889.203,5543303.566,5534000.895,5663687.815,5548543.081,5119999.288,5316861.15,5273025.565,5212710.675,5077462.199,4939360.75,4730722.154,4596229.186,4481206.188,4417759.413,4083261.309,3759117.346,3834451.87
Annex I,1.A.1.a.i  Electricity Generation,2764227.598,2744467.071,2764983.241,2789837.345,2785082.592,2812945.446,2858281.287,2932651.365,2944090.001,2950868.893,3095701.526,3081713.849,3093389.451,3139497.234,3170010.273,3248698.328,3204590.064,3317248.644,3229358.234,2930453.48,3039768.935,2950449.951,2822550.854,2778652.165,2745733.342,2583701.155,2452747.848,2372966.338,2366952.084,2161981.835,1918540.247,2048471.665
Annex I,1.A.1.a.ii  Combined Heat and Power Generation,1272060.485,1199553.902,1158728.606,1143139.199,1072715.2,1014914.803,1023850.216,972488.6967,985588.2302,970278.1591,978047.6429,1010111.858,994494.8948,1029441.941,1010754.371,1032094.398,1068851.779,1042300.798,1053875.461,995846.899,1043077.566,1051754.262,1054543.228,986022.259,967000.5207,943631.6067,935373.4659,930372.3889,952663.4913,914270.8145,898719.4475,971298.9871
Annex I,1.A.1.a.iii  Heat Plants,58142.954,59027.33148,53180.13652,38296.08953,33808.13433,35133.40924,39117.53495,35397.07871,98903.52265,67590.90939,58214.42779,59233.66608,57709.85777,58737.28197,56653.45677,56540.41133,54936.36044,50318.6514,47333.54849,45523.97951,49437.74912,45304.52426,46122.75936,43150.40646,36778.78364,34449.32491,37055.14839,35662.10556,36199.90075,35624.41472,34821.4224,37195.31138
Annex I,1.A.1.a.iv  Other,411753.3563,401467.9501,382060.8086,364874.1353,362193.793,352125.5317,366401.1544,353444.2604,356579.2082,346814.9409,358333.3971,375093.8269,374708.6944,390948.1214,388636.7654,382297.8593,384699.1185,388961.6768,373366.639,349281.6967,362191.1899,357095.4045,372115.933,374037.126,354618.3242,342161.6103,338008.6009,317781.0013,305352.3321,256760.154,219167.6909,247837.6947
Annex I,1.A.1.b  Petroleum Refining,378564.729,369962.5453,370142.028,374495.2278,361323.7301,358104.9733,362806.6892,361805.3006,371249.0393,357863.1887,354392.6951,352356.8194,353324.5325,355912.7098,361318.9068,357614.9874,358015.739,355633.1831,347770.6116,340754.9774,343903.1277,340596.7248,333790.2611,342008.1572,332540.7958,333682.5434,327654.4842,333767.1985,331135.3171,335119.4675,310324.3252,291055.3326
