nace2dig,sector_group,uk_prtr_sector_examples
5,Power & heat (combustion),Major power producers; minor power producers; natural gas distribution; other fuel production
6,Power & heat (combustion),Oil and gas extraction where mapped to combustion-related sectors
10,Food & beverages,"Food, drink & tobacco industry"
11,Food & beverages,"Food, drink & tobacco industry"
12,Food & beverages,"Food, drink & tobacco industry"
13,Other manufacturing,"Textiles, clothing, leather & footwear"
14,Other manufacturing,"Textiles, clothing, leather & footwear"
15,Other manufacturing,"Textiles, clothing, leather & footwear"
16,"Pulp, paper & wood","Paper, printing & publishing industries"
17,"Pulp, paper & wood","Paper, printing & publishing industries"
18,"Pulp, paper & wood","Paper, printing & publishing industries"
19,Refineries & chemicals,Processing & distribution of petroleum products
20,Refineries & chemicals,Chemical industry
21,Refineries & chemicals,Chemical industry
22,Other manufacturing,Other industries
23,Cement & minerals,Cement; lime; other mineral industries
24,Metals,Iron & steel industries; non-ferrous metal industries
25,Metals,Iron & steel industries; non-ferrous metal industries
26,Other manufacturing,Electrical engineering
27,Other manufacturing,Electrical engineering
28,Other manufacturing,Mechanical engineering
29,Other manufacturing,Vehicles
30,Other manufacturing,Vehicles
31,Other manufacturing,Other industries
32,Other manufacturing,Other industries
33,Other manufacturing,Other industries
35,Power & heat (combustion),Major power producers; minor power producers
36,Other manufacturing,Water & sewerage
37,Other manufacturing,Water & sewerage
38,Other manufacturing,"Waste collection, treatment & disposal"
39,Other manufacturing,"Waste collection, treatment & disposal"
