"identifiant","ets_emissions","ets","country","year","did","treat","weights","subclass","sector_group","nace2dig","nace3dig"
"FR10000033",25300,1,"FR",2003,0,0,1,"FR","Other manufacturing",22,221
"FR10000033",22900,1,"FR",2004,0,0,1,"FR","Other manufacturing",22,221
"FR10000033",23400,1,"FR",2005,0,0,1,"FR","Other manufacturing",22,221
"FR10000033",22100,1,"FR",2006,0,0,1,"FR","Other manufacturing",22,221
"FR10000033",16800,1,"FR",2007,0,0,1,"FR","Other manufacturing",22,221
"FR10000033",0,1,"FR",2014,1,1,1,"FR","Other manufacturing",22,221
"FR10000033",0,1,"FR",2015,1,1,1,"FR","Other manufacturing",22,221
"FR10000033",0,1,"FR",2016,1,1,1,"FR","Other manufacturing",22,221
"FR10000033",19400,1,"FR",2017,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000033",0,1,"FR",2018,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000033",2300,1,"FR",2019,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000033",1800,1,"FR",2020,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000033",10900,1,"FR",2021,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000033",11000,1,"FR",2022,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000033",11000,1,"FR",2023,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000451",53700,1,"FR",2003,0,0,1,"FR","Food & beverages",10,108
"FR10000451",59400,1,"FR",2004,0,0,1,"FR","Food & beverages",10,108
"FR10000451",61400,1,"FR",2005,0,0,1,"FR","Food & beverages",10,108
"FR10000451",53000,1,"FR",2006,0,0,1,"FR","Food & beverages",10,108
"FR10000451",53300,1,"FR",2007,0,0,1,"FR","Food & beverages",10,108
"FR10000451",55900,1,"FR",2008,1,1,1,"FR","Food & beverages",10,108
"FR10000451",60600,1,"FR",2009,1,1,1,"FR","Food & beverages",10,108
"FR10000451",63900,1,"FR",2010,1,1,1,"FR","Food & beverages",10,108
"FR10000451",66500,1,"FR",2011,1,1,1,"FR","Food & beverages",10,108
"FR10000451",63600,1,"FR",2012,1,1,1,"FR","Food & beverages",10,108
"FR10000451",53600,1,"FR",2013,1,1,1,"FR","Food & beverages",10,108
"FR10000451",56700,1,"FR",2014,1,1,1,"FR","Food & beverages",10,108
"FR10000451",62900,1,"FR",2015,1,1,1,"FR","Food & beverages",10,108
"FR10000451",65200,1,"FR",2016,1,1,1,"FR","Food & beverages",10,108
"FR10000451",75900,1,"FR",2017,1,1,1,"FR","Other manufacturing",NA,NA
"FR10000451",75900,1,"FR",2018,1,1,1,"FR","Other manufacturing",NA,NA
